review_id,product_id,product_name,category,rating,review_text,review_date,verified_purchase,helpful_count,review_length,true_sentiment,month,is_holiday_season
R000108,P0116,Fitness Tracker,Sports & Outdoors,1,Worst fitness tracker ever. poor customer service. Want my money back! This is my second purchase.,2024-05-25 16:36:18.433295,False,4,16,negative,5,False
R000109,P0655,Hair Dryer,Beauty & Personal Care,5,Absolutely ❤️ this hair dryer!1! fast shipping. Highly recommend!1!,2024-09-10 16:36:18.433295,True,8,9,positive,9,False
R000110,P0764,Yoga Mat,Sports & Outdoors,2,Awful yoga mat. false advertising. Returning immediately.,2025-05-05 16:36:18.433295,True,3,7,negative,5,False
R000111,P0159,First Aid Kit,Health & Household,5,Perfect first aid kit! fast shipping. Couldn't be happier.,2024-05-04 16:36:18.433295,False,4,9,positive,5,False
R000112,P0246,Biography,Books,3,The biography works as expected. nothing special.,2023-12-26 16:36:18.433295,True,5,7,neutral,12,True
R000113,P0046,Toaster,Home & Kitchen,5,"Exceeded my expectations! fast shipping. Would buy again. Compared to my previous one, this is better.",2024-02-28 16:36:18.433295,True,7,16,positive,2,False
R000114,P0374,Self-Help Book,Books,5,Perfect self-help book! excellent build quality. Couldn't be happier.,2024-03-04 16:36:18.433295,False,4,9,positive,3,False
R000115,P0220,Video Game,Toys & Games,5,looks fantastic. This video game is exactly what I needed!,2024-06-03 16:36:18.433295,True,3,10,positive,6,False
R000116,P0347,Cookware Set,Home & Kitchen,3,acceptable for the price. It's a decent cookware set for the price. Got this on sale.,2024-04-16 16:36:18.433295,True,3,16,neutral,4,False
R000117,P0602,Knife Set,Home & Kitchen,5,Amazing quality and fast shipping. 5 stars! This is my second purchase.,2025-06-11 16:36:18.433295,True,9,12,positive,6,False
R000118,P0636,Action Figure,Toys & Games,5,Absolutely love this action figure! great customer service. Highly recommend!,2024-10-02 16:36:18.433295,True,4,10,positive,10,False
R000119,P0424,Biography,Books,5,Perfect biography! excellent build quality. Couldn't be happier.,2024-04-21 16:36:18.433295,True,6,8,positive,4,False
R000120,P0839,Lego Set,Toys & Games,1,Complete disaster. false advertising. Save your money! Using it daily.,2023-07-30 16:36:18.433295,True,2,10,negative,7,False
R000121,P0984,Shampoo,Beauty & Personal Care,5,"Absolutely ❤️ this shampoo!!!! works perfectly. Highly recommend!!!! Compared to my previous one, this is better. ⭐",2025-01-11 16:36:18.433295,True,4,17,positive,1,True
R000122,P0632,Knife Set,Home & Kitchen,4,Amazing quality and amazing performance. 5 stars!,2025-02-01 16:36:18.433295,True,9,7,positive,2,False
R000123,P0960,Speaker,Electronics,3,It's fine. decent quality. Meets basic requirements. Got this on saale.,2024-04-10 16:36:18.433295,False,2,11,neutral,4,False
R000124,P0049,Vitamins,Health & Household,2,horrible design. This vitamins is a complete waste of money.,2025-02-20 16:36:18.433295,False,5,10,negative,2,False
R000125,P0511,Camera,Electronics,5,Best camera I've ever purchased. fast shipping. Worth every penny.,2024-02-16 16:36:18.433295,True,6,10,positive,2,False
R000126,P0122,Jeans,Fashion,5,"Best jeans I've ever purchased. amazing performance. Worth every penny. Compared to my previous one, this is better.",2024-10-23 16:36:18.433295,True,7,18,positive,10,False
R000127,P0919,First Aid Kit,Health & Household,5,fast shipping. This first aid kit is exactly what I needed!,2025-04-28 16:36:18.433295,False,8,11,positive,4,False
R000128,P0740,Video Game,Toys & Games,5,Best video game I've ever purchased. super comfortable. Worth every penny. This is my second purchase.,2024-12-17 16:36:18.433295,False,10,16,positive,12,True
R000129,P0183,Watch,Fashion,1,Horrible experience. poor customer service. Would not recommend.,2025-07-06 16:36:18.433295,True,1,8,negative,7,False
R000130,P0630,Coffee Maker,Home & Kitchen,5,Exceeded my expectations! easy to use. Would buy again.,2025-05-14 16:36:18.433295,False,5,9,positive,5,False
R000131,P0139,Action Figure,Toys & Games,3,works as described. It's a decent action figure for the price. Been using it for a month now.,2023-11-18 16:36:18.433295,False,3,18,neutral,11,True
R000132,P0177,Biography,Books,5,Perfect biography!!!! esay to use. Couldn't be happier. Using it daily.,2023-08-05 16:36:18.433295,True,3,11,positive,8,False
R000133,P0161,Puzzle,Toys & Games,3,"Average puzzle. meets expectations. Gets the job done. Compared to my previous one, this is better.",2025-02-14 16:36:18.433295,True,2,16,neutral,2,False
R000134,P0371,Yoga Mat,Sports & Outdoors,3,Acceptable yoga mat. okay for casual use. Could be better.,2025-03-03 16:36:18.433295,True,2,10,neutral,3,False
R000135,P0606,Lego Set,Toys & Games,5,Absolutely love thiis lego set! fast shipping. Highly recommend!,2024-10-26 16:36:18.433295,True,6,9,positive,10,False
R000136,P0906,Backpack,Sports & Outdoors,1,Worst backpack ever. false advertising. Want my money back!,2025-03-15 16:36:18.433295,True,1,9,negative,3,False
R000137,P0917,Biography,Books,3,The biography is okay. works as described. Nothing special.,2023-10-11 16:36:18.433295,False,2,9,neutral,10,False
R000138,P0243,Smartphone,Electronics,2,Horrible experience. terrible quality. Would not recommend.,2024-04-06 16:36:18.433295,True,5,7,negative,4,False
R000139,P0827,Board Game,Toys & Games,5,Amazing quality and super comfortable. 5 stars!,2023-10-24 16:36:18.433295,True,12,7,positive,10,False
R000140,P0145,Puzzle,Toys & Games,5,Absolutely love this puzzle! works perfectly. Highly recommmend!,2025-04-16 16:36:18.433295,True,4,8,positive,4,False
R000141,P0208,Scale,Health & Household,2,horrible design. This sccale is a complete waste of money.,2024-08-25 16:36:18.433295,True,1,10,negative,8,False
R000142,P0825,First Aid Kit,Health & Household,5,Exceeded my expectations! easy to use. Would buy again.,2024-04-25 16:36:18.433295,False,6,9,positive,4,False
R000143,P0301,Perfume,Beauty & Personal Care,5,Fantastic purchase. looks fantastic. Excellent value for money.,2023-09-01 16:36:18.433295,True,7,8,positive,9,False
R000144,P0839,Lego Set,Toys & Games,5,"works perfectly. Great lego set, very satisfied iwth my purchase.",2023-11-03 16:36:18.433295,True,4,10,positive,11,True
R000145,P0869,Tablet,Electronics,3,works as described. It's a decent tablet for the price.,2024-08-02 16:36:18.433295,True,2,10,neutral,8,False
R000146,P0539,Action Figure,Toys & Games,5,Perfect action figure! super comfortable. Couldn't be happier.,2024-03-16 16:36:18.433295,True,3,8,positive,3,False
R000147,P0762,Cookbook,Books,1,Awful cookbook. false advertising. Returning immediately. Bought this for my spouse.,2025-04-18 16:36:18.433295,True,6,11,negative,4,False
R000148,P0868,Knife Set,Home & Kitchen,3,average performance. It's a decent knife set for the price.,2025-01-13 16:36:18.433295,True,2,10,neutral,1,True
R000149,P0984,Board Game,Toys & Games,1,terrible quality. This board game broke after just a few adys.,2025-03-06 16:36:18.433295,True,3,11,negative,3,False
R000150,P0293,Tablet,Electronics,4,easy to use. This tablet is exactly what I needed!!!,2024-10-03 16:36:18.433295,True,9,10,positive,10,False
R000151,P0335,Speaker,Electronics,5,Best speaker I've ever purchased. great customer service. Worth every penny.,2024-08-09 16:36:18.433295,True,2,11,positive,8,False
R000152,P0054,Lego Set,Toys & Games,3,It's fine. standard quality. Meets basic requirements. This is my second purchase.,2023-08-01 16:36:18.433295,True,2,12,neutral,8,False
R000153,P0570,Knife Set,Home & Kitchen,5,Amazzing quality and fast shipping. 5 stars! This is my second purchase.,2024-09-24 16:36:18.433295,False,12,12,positive,9,False
R000154,P0976,Video Game,Toys & Games,5,Perfect video game! fast shipping. Couldn't be happier.,2023-11-01 16:36:18.433295,False,0,8,positive,11,True
R000155,P0893,Biography,Books,2,broke after a week. This biography broke after just a few days. Been using it for a month now.,2024-09-14 16:36:18.433295,True,7,19,negative,9,False
R000156,P0975,Moisturizer,Beauty & Personal Care,5,Exceeded my expectations!1! beautiful design. Would buy again.,2024-04-19 16:36:18.433295,True,7,8,positive,4,False
R000157,P0719,Biography,Books,5,Best biography I've ever purchased. easy to use. Worth every penny.,2023-10-10 16:36:18.433295,True,5,11,positive,10,False
R000158,P0999,Backpack,Sports & Outdoors,2,Awful backpack. doesn't work as advertised. Returning immediately.,2024-09-21 16:36:18.433295,False,4,8,negative,9,False
R000159,P0685,Moisturizer,Beauty & Personal Care,4,"easy to use. Great moisturizer, very satisfied with my purchase. Compared to my previous one, this is better.",2023-12-23 16:36:18.433295,True,4,18,positive,12,True
R000160,P0315,Jacket,Fashion,4,Exceeded my expectations! beautiful design. Would buy again.,2024-07-09 16:36:18.433295,False,6,8,positive,7,False
R000161,P0682,Biography,Books,5,beautiful design. This biography is exactly what I needed!,2024-06-28 16:36:18.433295,True,4,9,positive,6,False
R000162,P0090,Action Figure,Toys & Games,2,Horrible experience. missing parts. Would not recommend. 😡,2024-08-19 16:36:18.433295,True,7,8,negative,8,False
R000163,P0783,Bike,Sports & Outdoors,5,Fantastic purchase. excellent build quality. Excellent value for omney.,2023-09-25 16:36:18.433295,False,7,9,positive,9,False
R000164,P0958,Shirt,Fashion,4,Fantastic purchase. fast shipping. Excellent value for money. Been using it for a month now.,2025-03-21 16:36:18.433295,True,5,15,positive,3,False
R000165,P0842,Camera,Electronics,2,Complete disaster. missing parts. Save your money!,2024-09-01 16:36:18.433295,True,1,7,negative,9,False
R000166,P0473,Smartphone,Electronics,4,works perfectly. This smartphone is exactly what I needed!,2024-02-22 16:36:18.433295,True,6,9,positive,2,False
R000167,P0435,Moisturizer,Beauty & Personal Care,5,"beautiful design. Great moisturizer, very satisfied with my purchase. Been using it for a month now.",2024-12-24 16:36:18.433295,True,4,16,positive,12,True
R000168,P0531,Vitamins,Health & Household,4,Best vitamins I've ever purchased. amazing performance. Worth every penny. Bought this for my spouse.,2024-05-23 16:36:18.433295,True,4,15,positive,5,False
R000169,P0777,Biography,Books,1,Do not buy! uncomfortable to use. Extremely poor quality.,2024-11-28 16:36:18.433295,True,6,9,negative,11,True
R000170,P0802,Humidifier,Health & Household,1,Awful humidifier. doesn't work as advertised. Returning immediately.,2024-01-01 16:36:18.433295,True,3,8,negative,1,True
R000171,P0002,Shampoo,Beauty & Personal Care,5,"Exceeded my expectations! easy to usse. Would buy again. Compared to my previous on, this is better.",2023-12-09 16:36:18.433295,True,4,17,positive,12,True
R000172,P0740,Toaster,Home & Kitchen,2,horrible design. This toaster is a complete waste of money.,2024-09-14 16:36:18.433295,True,10,10,negative,9,False
R000173,P0243,Shoes,Fashion,5,"Fantastic purchase. amazing performance. Excellent value for money. Compared to my previous one, this is better.",2024-07-14 16:36:18.433295,True,11,16,positive,7,False
R000174,P0662,Humidifier,Health & Household,5,Fantastic purchase. dope customer service. Excellent value for $$. 🔥,2024-12-11 16:36:18.433295,True,5,10,positive,12,True
R000175,P0264,Shampoo,Beauty & Personal Care,4,"Best shampoo I've ever purchased. lit customer service. Worth etotally penny. Compared to my previous one, this is better.",2025-02-03 16:36:18.433295,True,2,19,positive,2,False
R000176,P0112,Humidifier,Health & Household,3,"Not bad, not great. average performance. Just average.",2025-01-13 16:36:18.433295,False,1,8,neutral,1,True
R000177,P0292,Blender,Home & Kitchen,4,Perfect blender! very durable. Couldn't be happier. Got this on sale.,2024-08-24 16:36:18.433295,False,6,11,positive,8,False
